iShares Select Dividend ETF
Inception Date,"Nov 03, 2003"
Fund Holdings as of,"Mar 31, 2017"
Total Net Assets,"17,107,602,985.27"
Shares Outstanding,"187,750,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"UBSI","UNITED BANKSHARES INC.","Equity","0.66","42.25","2,676,156.00","113,067,591.00","113,067,591.00","Financials","2905794","US9099071071","NASDAQ"
"CNK","CINEMARK HOLDINGS INC.","Equity","0.64","44.34","2,452,246.00","108,732,587.64","108,732,587.64","Consumer Discretionary","B1W7RQ0","US17243V1026","New York Stock Exchange Inc."
"OGE","OGE ENERGY CORP.","Equity","0.61","34.98","2,987,781.00","104,512,579.38","104,512,579.38","Utilities","2657802","US6708371033","New York Stock Exchange Inc."
"CF","CF INDUSTRIES HOLDINGS INC","Equity","0.61","29.35","3,559,276.00","104,464,750.60","104,464,750.60","Materials","B0G4K50","US1252691001","New York Stock Exchange Inc."
"COP","CONOCOPHILLIPS","Equity","0.60","49.87","2,045,638.00","102,015,967.06","102,015,967.06","Energy","2685717","US20825C1045","New York Stock Exchange Inc."
"GXP","GREAT PLAINS ENERGY INC.","Equity","0.59","29.22","3,431,863.00","100,279,036.86","100,279,036.86","Utilities","2483706","US3911641005","New York Stock Exchange Inc."
"BBT","BB AND T CORP","Equity","0.58","44.70","2,214,877.00","99,005,001.90","99,005,001.90","Financials","2830904","US0549371070","New York Stock Exchange Inc."
"CNP","CENTERPOINT ENERGY INC","Equity","0.56","27.57","3,454,660.00","95,244,976.20","95,244,976.20","Utilities","2440637","US15189T1079","New York Stock Exchange Inc."
"NJR","NEW JERSEY RESOURCES CORP.","Equity","0.55","39.60","2,372,007.00","93,931,477.20","93,931,477.20","Utilities","2630513","US6460251068","New York Stock Exchange Inc."
"INTC","INTEL CORPORATION CORP","Equity","0.55","36.07","2,586,811.00","93,306,272.77","93,306,272.77","Information Technology","2463247","US4581401001","NASDAQ"
"GE","GENERAL ELECTRIC","Equity","0.50","29.80","2,854,322.00","85,058,795.60","85,058,795.60","Industrials","2380498","US3696041033","New York Stock Exchange Inc."
"FII","FEDERATED INVESTORS INC.","Equity","0.48","26.34","3,114,468.00","82,035,087.12","82,035,087.12","Financials","2246288","US3142111034","New York Stock Exchange Inc."
"TRMK","TRUSTMARK CORP.","Equity","0.47","31.79","2,522,587.00","80,193,040.73","80,193,040.73","Financials","2340210","US8984021027","NASDAQ"
"HRB","H&R BLOCK INC","Equity","0.44","23.25","3,229,417.00","75,083,945.25","75,083,945.25","Consumer Discretionary","2105505","US0936711052","New York Stock Exchange Inc."
